trial_id,method_l2,planning_ok_l2,selected_dq_exec_l2,planning_time_sec_l2,sel_best_mode_m_limit_l2,sel_best_mode_m_sing_l2,candidates_size_l2,ik_success_count_l2,ik_fail_count_l2,method_ik,planning_ok_ik,selected_dq_exec_ik,planning_time_sec_ik,sel_best_mode_m_limit_ik,sel_best_mode_m_sing_ik,candidates_size_ik,ik_success_count_ik,ik_fail_count_ik,d_dq_exec,d_time,d_m_limit,d_m_sing,delta_d,delta_t_plan,delta_mu_L,delta_mu_S
4,L1+L2,1,2.435544759097884,1.000233173370361,,,5,5.0,0.0,L1+IK-only,1,3.543553352355957,0.8274226188659668,0.6317536234855652,1.0,249,102.0,155.0,-1.1080085932580732,0.1728105545043943,,,-1.1080085932580732,0.1728105545043943,,
5,L1+L2,1,2.5567120313455582,1.3035163879394531,0.4918204843997955,1.0,5,5.0,0.0,L1+IK-only,1,3.673573732376098,0.9904932975769044,0.4351069331169128,1.0,303,120.0,173.0,-1.11686170103054,0.3130230903625487,0.05671355128288269,0.0,-1.11686170103054,0.3130230903625487,0.05671355128288269,0.0
7,L1+L2,1,3.1880816826189267,1.0810692310333252,0.9877890348434448,1.0,1,1.0,0.0,L1+IK-only,1,8.911952018737793,1.7637808322906494,0.7420216798782349,1.0,252,98.0,184.0,-5.723870336118866,-0.6827116012573242,0.24576735496520996,0.0,-5.723870336118866,-0.6827116012573242,0.24576735496520996,0.0
8,L1+L2,1,2.0542151777046715,0.97823166847229,0.0955625176429748,1.0,5,5.0,0.0,L1+IK-only,1,4.19234561920166,1.2383241653442385,0.3701349794864654,1.0,289,145.0,159.0,-2.1381304414969886,-0.26009249687194846,-0.2745724618434906,0.0,-2.1381304414969886,-0.26009249687194846,-0.2745724618434906,0.0
9,L1+L2,1,4.109089099907907,1.3204004764556885,0.5313643217086792,1.0,9,9.0,0.0,L1+IK-only,1,8.00442886352539,1.3803379535675049,0.1478800624608993,1.0,296,163.0,145.0,-3.895339763617484,-0.059937477111816406,0.3834842592477799,0.0,-3.895339763617484,-0.059937477111816406,0.3834842592477799,0.0
10,L1+L2,1,2.6908292504665106,1.2472124099731443,0.9089732766151428,1.0,1,1.0,0.0,L1+IK-only,1,3.9254329204559326,1.3558409214019775,0.0740620642900466,1.0,301,157.0,130.0,-1.234603669989422,-0.10862851142883323,0.8349112123250962,0.0,-1.234603669989422,-0.10862851142883323,0.8349112123250962,0.0
11,L1+L2,1,2.5755951227532283,1.0147032737731934,1.0,1.0,4,4.0,0.0,L1+IK-only,1,4.006983280181885,0.991621732711792,0.0313690938055515,1.0,241,138.0,138.0,-1.4313881574286564,0.023081541061401367,0.9686309061944485,0.0,-1.4313881574286564,0.023081541061401367,0.9686309061944485,0.0
12,L1+L2,1,4.447758970893278,1.5641584396362305,,,2,2.0,0.0,L1+IK-only,1,7.627101898193359,1.348543643951416,0.7478010654449463,1.0,285,112.0,182.0,-3.1793429273000813,0.21561479568481445,,,-3.1793429273000813,0.21561479568481445,,
13,L1+L2,1,8.277796159154304,1.381453037261963,0.1432736814022064,1.0,2,2.0,0.0,L1+IK-only,1,6.185470104217529,1.4099464416503906,0.6496010422706604,1.0,236,30.0,202.0,2.092326054936775,-0.028493404388427734,-0.506327360868454,0.0,2.092326054936775,-0.028493404388427734,-0.506327360868454,0.0
16,L1+L2,1,2.767945310112633,1.1317241191864014,0.4483000338077545,1.0,1,1.0,0.0,L1+IK-only,1,9.72226333618164,4.914926052093506,0.5211597681045532,1.0,245,106.0,141.0,-6.954318026069007,-3.7832019329071045,-0.0728597342967987,0.0,-6.954318026069007,-3.7832019329071045,-0.0728597342967987,0.0
17,L1+L2,1,2.524271553196715,1.221024513244629,1.0,1.0,8,6.0,2.0,L1+IK-only,1,10.107048034667969,4.09174919128418,0.3223617374897003,1.0,261,112.0,140.0,-7.582776481471254,-2.870724678039551,0.6776382625102997,0.0,-7.582776481471254,-2.870724678039551,0.6776382625102997,0.0
18,L1+L2,1,6.732464474841776,1.1608984470367432,1.0,1.0,4,4.0,0.0,L1+IK-only,1,4.054640293121338,1.1181094646453855,0.3830548822879791,1.0,174,107.0,32.0,2.677824181720438,0.042788982391357644,0.6169451177120209,0.0,2.677824181720438,0.042788982391357644,0.6169451177120209,0.0
21,L1+L2,1,3.6865792159404354,5.237766981124878,0.8340444564819336,1.0,3,3.0,0.0,L1+IK-only,1,7.167831897735596,1.4738383293151855,0.6253973841667175,1.0,181,108.0,73.0,-3.4812526817951603,3.7639286518096924,0.20864707231521606,0.0,-3.4812526817951603,3.7639286518096924,0.20864707231521606,0.0
22,L1+L2,1,3.417711578,1.354038239,1.0,1.0,6,3.0,3.0,L1+IK-only,1,4.925055503845215,2.189423084259033,0.441579520702362,1.0,175,80.0,106.0,-1.5073439258452148,-0.8353848452590331,0.5584204792976379,0.0,-1.5073439258452148,-0.8353848452590331,0.5584204792976379,0.0
24,L1+L2,1,2.693108648934848,1.2073404788970947,0.6817502975463867,0.8835722804069519,38,36.0,2.0,L1+IK-only,1,3.311997175216675,1.254709005355835,0.6691622138023376,1.0,169,91.0,91.0,-0.6188885262818267,-0.047368526458740234,0.012588083744049072,-0.1164277195930481,-0.6188885262818267,-0.047368526458740234,0.012588083744049072,-0.1164277195930481
25,L1+L2,1,3.300017541990634,1.4637658596038818,0.803427517414093,1.0,4,3.0,1.0,L1+IK-only,1,7.350658893585205,1.9002799987792969,0.5661720037460327,1.0,214,148.0,52.0,-4.050641351594571,-0.43651413917541504,0.2372555136680603,0.0,-4.050641351594571,-0.43651413917541504,0.2372555136680603,0.0
26,L1+L2,1,2.541565518523875,0.7970843315124512,0.8060359954833984,1.0,1,1.0,0.0,L1+IK-only,1,3.951272010803223,1.2866010665893557,0.3801608979701996,1.0,186,154.0,42.0,-1.4097064922793483,-0.4895167350769045,0.42587509751319885,0.0,-1.4097064922793483,-0.4895167350769045,0.42587509751319885,0.0
27,L1+L2,1,2.6398390930040607,1.0229792594909668,,,27,25.0,2.0,L1+IK-only,1,7.307742118835449,1.5244977474212646,0.6080068349838257,1.0,206,143.0,48.0,-4.6679030258313885,-0.5015184879302979,,,-4.6679030258313885,-0.5015184879302979,,
28,L1+L2,1,2.5066893080234114,0.7993502616882324,0.8679561614990234,1.0,6,6.0,0.0,L1+IK-only,1,7.607158184051514,1.0471041202545166,0.5575641393661499,1.0,198,149.0,45.0,-5.100468876028103,-0.24775385856628418,0.31039202213287354,0.0,-5.100468876028103,-0.24775385856628418,0.31039202213287354,0.0
29,L1+L2,1,2.894533430895263,1.5221734046936035,0.7115253210067749,1.0,1,1.0,0.0,L1+IK-only,1,3.886009931564331,0.8685379028320312,0.2422877252101898,1.0,195,139.0,40.0,-0.991476500669068,0.6536355018615723,0.4692375957965851,0.0,-0.991476500669068,0.6536355018615723,0.4692375957965851,0.0
30,L1+L2,1,6.621669358169838,1.4170854091644287,0.7292032837867737,1.0,1,1.0,0.0,L1+IK-only,1,4.273881912231445,1.0724642276763916,0.7057092189788818,1.0,197,108.0,70.0,2.3477874459383923,0.3446211814880371,0.023494064807891846,0.0,2.3477874459383923,0.3446211814880371,0.023494064807891846,0.0
31,L1+L2,1,3.144347117034594,1.4082632064819336,1.0,1.0,6,6.0,0.0,L1+IK-only,1,3.958485126495361,1.7904584407806396,0.9753007888793944,1.0,217,115.0,86.0,-0.8141380094607671,-0.38219523429870605,0.02469921112060558,0.0,-0.8141380094607671,-0.38219523429870605,0.02469921112060558,0.0
32,L1+L2,1,2.88877842063335,1.11779689788818,0.328163057565689,1.0,6,3.0,3.0,L1+IK-only,1,3.1804006099700928,1.4486005306243896,1.0,1.0,193,91.0,87.0,-0.29162218933674255,-0.3308036327362096,-0.671836942434311,0.0,-0.29162218933674255,-0.3308036327362096,-0.671836942434311,0.0
33,L1+L2,1,2.75269273747428,1.230898380279541,0.7251747250556946,1.0,6,6.0,0.0,L1+IK-only,1,9.586920738220217,1.1575589179992676,0.7140514850616455,1.0,189,107.0,108.0,-6.834228000745936,0.07333946228027344,0.011123239994049072,0.0,-6.834228000745936,0.07333946228027344,0.011123239994049072,0.0
34,L1+L2,1,2.4995686710649947,1.0902247428894043,1.0,1.0,14,13.0,1.0,L1+IK-only,1,3.268523931503296,3.812920570373535,0.9717464447021484,1.0,56,63.0,6.0,-0.7689552604383012,-2.722695827484131,0.028253555297851562,0.0,-0.7689552604383012,-2.722695827484131,0.028253555297851562,0.0
35,L1+L2,1,4.085014655439545,1.3988697528839111,1.0,1.0,2,2.0,0.0,L1+IK-only,1,7.268731117248535,4.84256386756897,1.0,1.0,68,55.0,14.0,-3.1837164618089906,-3.4436941146850586,0.0,0.0,-3.1837164618089906,-3.4436941146850586,0.0,0.0
36,L1+L2,1,3.815985837446235,3.8728742599487305,0.847439706325531,1.0,2,2.0,0.0,L1+IK-only,1,7.14566707611084,3.6656219959259033,1.0,1.0,42,37.0,6.0,-3.329681238664605,0.20725226402282715,-0.152560293674469,0.0,-3.329681238664605,0.20725226402282715,-0.152560293674469,0.0
37,L1+L2,1,3.0765462174700366,1.376134157180786,1.0,1.0,15,15.0,0.0,L1+IK-only,1,2.929960966110229,1.7427701950073242,1.0,1.0,52,48.0,8.0,0.1465852513598076,-0.3666360378265383,0.0,0.0,0.1465852513598076,-0.3666360378265383,0.0,0.0
38,L1+L2,1,2.8688017423991066,1.485464334487915,0.7855241298675537,1.0,3,3.0,0.0,L1+IK-only,1,3.312177419662476,1.1701583862304688,1.0,1.0,67,44.0,14.0,-0.44337567726336946,0.3153059482574463,-0.2144758701324463,0.0,-0.44337567726336946,0.3153059482574463,-0.2144758701324463,0.0
41,L1+L2,1,4.309392514,4.705438375,1.0,1.0,3,3.0,0.0,L1+IK-only,1,4.042361259460449,3.7194361686706543,0.733761191368103,1.0,123,90.0,44.0,0.26703125453955057,0.9860022063293457,0.266238808631897,0.0,0.26703125453955057,0.9860022063293457,0.266238808631897,0.0
42,L1+L2,1,3.5411614279511685,1.481482744216919,,,1,1.0,0.0,L1+IK-only,1,7.6604228019714355,5.320338249206543,0.6163976192474365,1.0,130,85.0,33.0,-4.119261374020267,-3.838855504989624,,,-4.119261374020267,-3.838855504989624,,
44,L1+L2,1,3.217356384929813,1.7893180847167969,0.8873546719551086,0.6733828186988831,8,7.0,1.0,L1+IK-only,1,4.39439868927002,1.379446506500244,0.4640406966209411,1.0,176,88.0,74.0,-1.1770423043402074,0.40987157821655296,0.42331397533416754,-0.32661718130111694,-1.1770423043402074,0.40987157821655296,0.42331397533416754,-0.32661718130111694
47,L1+L2,1,2.692283536517926,1.0549845695495603,0.528190016746521,1.0,2,2.0,0.0,L1+IK-only,1,7.015108585357666,1.576207160949707,0.5662028789520264,1.0,133,65.0,67.0,-4.32282504883974,-0.5212225914001467,-0.03801286220550537,0.0,-4.32282504883974,-0.5212225914001467,-0.03801286220550537,0.0
48,L1+L2,1,3.36470008240134,1.003279447555542,0.9696335196495056,1.0,2,2.0,0.0,L1+IK-only,1,3.8526864051818848,1.3211338520050049,0.5624757409095764,1.0,132,86.0,61.0,-0.48798632278054477,-0.3178544044494629,0.4071577787399292,0.0,-0.48798632278054477,-0.3178544044494629,0.4071577787399292,0.0
49,L1+L2,1,2.088947879515409,1.138844013214111,0.4284537732601166,1.0,25,25.0,0.0,L1+IK-only,1,7.681718349456787,1.282016038894653,0.4597295522689819,1.0,148,59.0,69.0,-5.592770469941378,-0.143172025680542,-0.0312757790088653,0.0,-5.592770469941378,-0.143172025680542,-0.0312757790088653,0.0
51,L1+L2,1,2.00719706914333,0.985364198684692,0.192952126264572,1.0,8,8.0,0.0,L1+IK-only,1,4.4470038414001465,1.1519150733947754,0.0192096792161464,1.0,85,3.0,85.0,-2.4398067722568166,-0.16655087471008334,0.17374244704842562,0.0,-2.4398067722568166,-0.16655087471008334,0.17374244704842562,0.0
53,L1+L2,1,2.6511292499404875,1.2345666885375977,0.942742645740509,1.0,1,1.0,0.0,L1+IK-only,1,10.299029350280762,0.9831888675689696,0.3917463421821594,1.0,152,81.0,54.0,-7.647900100340275,0.25137782096862804,0.5509963035583496,0.0,-7.647900100340275,0.25137782096862804,0.5509963035583496,0.0
55,L1+L2,1,2.6186155292561115,0.9501848220825196,0.4515967071056366,1.0,4,4.0,0.0,L1+IK-only,1,10.445488929748535,10.349224090576172,0.5244721174240112,1.0,130,99.0,34.0,-7.826873400492424,-9.399039268493652,-0.07287541031837463,0.0,-7.826873400492424,-9.399039268493652,-0.07287541031837463,0.0
56,L1+L2,1,2.017310353234263,1.2168524265289309,0.7918944954872131,1.0,8,8.0,0.0,L1+IK-only,1,7.723175048828125,1.5909144878387451,0.3677476644515991,1.0,131,84.0,34.0,-5.705864695593862,-0.37406206130981423,0.424146831035614,0.0,-5.705864695593862,-0.37406206130981423,0.424146831035614,0.0
58,L1+L2,1,2.6149065338006663,1.0418567657470703,1.0,1.0,2,2.0,0.0,L1+IK-only,1,4.032181739807129,1.2024054527282717,0.4748196303844452,1.0,190,132.0,65.0,-1.4172752060064626,-0.1605486869812014,0.5251803696155548,0.0,-1.4172752060064626,-0.1605486869812014,0.5251803696155548,0.0
59,L1+L2,1,2.195021867153072,1.142198085784912,0.1961219757795334,1.0,20,20.0,0.0,L1+IK-only,1,6.750259399414063,1.6495213508605957,0.0304087493568658,1.0,196,107.0,65.0,-4.555237532260991,-0.5073232650756836,0.1657132264226676,0.0,-4.555237532260991,-0.5073232650756836,0.1657132264226676,0.0
60,L1+L2,1,2.5777020307811607,1.0231940746307373,0.345302402973175,1.0,3,3.0,0.0,L1+IK-only,1,8.200813293457031,1.445427656173706,0.3093493282794952,1.0,168,108.0,74.0,-5.62311126267587,-0.42223358154296875,0.03595307469367981,0.0,-5.62311126267587,-0.42223358154296875,0.03595307469367981,0.0
